TYPE,SUBTYPE,IOC,Description,ICS Kill Chain,Impact
Host,Mutex Value,ApiPortection9d3,Mutex value checked,Stage 2: Install,Recon
Host,Mutex Value,<Blank Value>,Mutex value created,Stage 2: Install,Recon
Host,File,C:\Users\<Public OR Executing User>\imapi,File dropped and deleted after program exit,Stage 2: Install,Recon
Host,Service Name,defragsvc,Name given to service start,Stage 2: C2,Remote Access
Network,IP Address,195.16.88.6,External C2 server [DEC 2016] (likely TOR node at time of attack),Stage 2: C2,Remote Access
Network,IP Address,93.115.27.57,External C2 server [DEC 2016] (likely TOR node at time of attack),Stage 2: C2,Remote Access
Network,IP Address,5.39.218.152,External C2 server [DEC 2016] (likely TOR node at time of attack),Stage 2: C2,Remote Access
Network,User Agent String,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.1),Default user agent string used in C2 if unable to get system default user agent string,Stage 2: C2,Remote Access
Host,Command Line,<Drive>:\<name>.exe -ip=<IP_address> -ports=<ports>,Command line arguments used to launch custom port scanner observed with malware. Command line logging required to track.,Stage 2: Develop,Recon
Host,Registry Key,HKLM\SYSTEM\CurrentControlSet\Services\<target_service_name>\ImagePath <path to malware>,Change in Service Image Path in the system registry to point to malware allowing malware to restart on system reboot.,Stage 2: Installation,Persistence
Host,SHA1 File Hash,F6C21F8189CED6AE150F9EF2E82A3A57843B587D,"Traffic to 10.15.1.69:3128, HTTP CONNECT to 5.39.218.152:443. Backdoor/RAT. ",Phase2: C2,Remote Access
Host,SHA1 File Hash,CCCCE62996D578B984984426A024D9B250237533,"Traffic to 10.15.1.69:3128, HTTP CONNECT to 5.39.218.152:443. Backdoor/RAT.",Phase2: C2,Remote Access
Host,SHA1 File Hash,8E39ECA1E48240C01EE570631AE8F0C9A9637187,Backdoor/RAT Proxy + HTTP CONNECT to 93.115.27.57:443. ,Phase2: C2,Remote Access
Host,SHA1 File Hash,2CB8230281B86FA944D3043AE906016C8B5984D9,Backdoor/RAT Proxy + HTTP CONNECT to 95.16.88.6:443 ,Phase2: C2,Remote Access
Host,SHA1 File Hash,79CA89711CDAEDB16B0CCCCFDCFBD6AA7E57120A,"Launcher for payload DLL. Takes input as three command line parameters – working directory, module, and config file.",Stage 2: Attack,Loss of Control
Host,SHA1 File Hash,94488F214B165512D2FC0438A581F5C9E3BD4D4C,Module for 104 effect. Exports 'Crash' which is invoked by launcher. Functionality requires config file. ,Stage 2: Attack,Loss of Control
Host,SHA1 File Hash,5A5FAFBC3FEC8D36FD57B075EBF34119BA3BFF04,"Wiper module, wipes list of files by extension, removes system processes, and makes registry changes to prevent system boot. ",Stage 2: Attack,Destruction
Host,SHA1 File Hash,B92149F046F00BB69DE329B8457D32C24726EE00,"Wiper module, wipes list of files by extension, removes system processes, and makes registry changes to prevent system boot. ",Stage 2: Attack,Destruction
Host,SHA1 File Hash,B335163E6EB854DF5E08E85026B2C3518891EDA8,Custom-built port scanner. ,Stage 2: Develop,Recon
Host,SHA1 File Hash,7fAC2EDDF22FF692E1B4E7F99910E5DBB51295E6,OPC Data Access protocol enumeration of servers and addresses ,Stage 2: Attack,Loss of Control
Host,SHA1 File Hash,ECF6ADF20A7137A84A1B319CCAA97CB0809A8454 ,IEC-61850 enumeration and address manipulation,Stage 2: Attack,Loss of Control
Host,Filename,opc.exe,OPC Data Access protocol enumeration of servers and addresses ,Stage 2: Attack,Loss of Control
Host,Filename,61850.exe,IEC-61850 enumeration and address manipulation,Stage 2: Attack,Loss of Control
Host,Filename,haslo.exe,"Wiper module, wipes list of files by extension, removes system processes, and makes registry changes to prevent system boot. ",Stage 2: Attack,Destruction
Host,Filename,104.dll,IEC-104 module,Stage 2: Attack,Loss of Control
Host,Filename,haslo.dat,Wiper module,Stage 2: Attack,Destruction
OPC Server,OPC Group,Aabdul,OPC DA Module,Stage 2: Attack,Loss of Visibility
